project	hue	fill	accent	foreground	emoji	tier
haribo-admin	4.0	#a5281f	#ffd100	light	🔴	full
zuzzax	38.1	#b87a0e	#ffaa17	dark	🟠	full
work/teters	207.1	#0a6fc2	#ffd34d	light	🔵	full-light
office-hero/main	154.5	#1b4332	#40916c	light	🟢	minimal
office-hero/stream__ai	273.5	#3b0764	#a855f7	light	🟣	minimal
office-hero/phase-6	15.3	#7c2d12	#ea580c	light	🟠	minimal
office-hero/stream__backend-core	214.2	#1e3a5f	#3b82f6	light	🔵	minimal
office-hero/stream__backoffice	175.9	#134e4a	#2dd4bf	light	🩵	minimal
office-hero/stream__frontend	21.7	#78350f	#f59e0b	light	🟡	minimal
office-hero/stream__mobile	334.0	#6d1a3e	#ec4899	light	🩷	minimal
